season,season_id,school_id,TC,PO,A,E,CI,PB,SBA,CSB,IDP,TP,FLD%,CS%
2017,12560,127,1042.0,782,230,30,1,3,95,31,45,0,0.9712092130518234,0.3263157894736842
2017,12560,128,271.0,91,163,17,0,0,2,0,34,0,0.9372693726937269,0.0
2017,12560,129,757.0,422,302,33,0,3,47,11,44,0,0.9564068692206077,0.23404255319148937
2017,12560,130,94.0,78,15,1,0,0,11,5,4,0,0.9893617021276596,0.45454545454545453
2017,12560,132,536.0,431,86,19,1,9,81,7,15,0,0.9645522388059702,0.08641975308641975
2017,12560,134,90.0,148,241,5,0,5,21,4,13,1,0.9873096446700508,0.19047619047619047
2017,12560,136,449.0,280,145,24,0,7,49,15,16,0,0.9465478841870824,0.30612244897959184
2017,12560,137,350.0,382,281,25,0,10,39,17,14,0,0.9636627906976745,0.4358974358974359
2017,12560,139,974.0,627,312,35,1,4,38,14,81,0,0.9640657084188912,0.3684210526315789
2017,12560,140,246.0,223,19,4,0,0,3,6,5,0,0.983739837398374,2.0
2017,12560,142,80.0,70,8,2,0,0,12,5,0,0,0.975,0.4166666666666667
2017,12560,143,8.0,71,86,7,1,7,13,5,0,0,0.9573170731707317,0.38461538461538464
2017,12560,144,143.0,200,273,24,0,10,32,4,10,0,0.9517102615694165,0.125
2017,12560,145,614.0,328,265,21,1,8,39,22,41,0,0.9657980456026058,0.5641025641025641
2017,12560,146,99.0,45,76,6,0,0,22,2,5,0,0.952755905511811,0.09090909090909091
2017,12560,147,1007.0,736,235,36,0,0,11,9,67,0,0.9642502482621649,0.8181818181818182
2017,12560,149,959.0,733,204,22,0,8,39,18,46,0,0.9770594369134515,0.46153846153846156
2017,12560,150,745.0,485,215,45,0,7,21,9,27,0,0.9395973154362416,0.42857142857142855
2017,12560,151,1.0,73,74,0,0,0,2,0,1,0,1.0,0.0
2017,12560,155,551.0,318,209,24,0,8,28,23,24,0,0.956442831215971,0.8214285714285714
2017,12560,158,419.0,323,84,12,0,0,9,4,29,0,0.9713603818615751,0.4444444444444444
2017,12560,159,268.0,124,140,4,0,0,1,1,45,0,0.9850746268656716,1.0
2017,12560,160,45.0,35,8,2,0,0,1,0,0,0,0.9555555555555556,0.0
