R,AB,H,2B,3B,TB,HR,RBI,BB,HBP,SF,SH,K,DP,CS,Picked,SB,IBB,date,field,season_id,opponent_id,opponent_name,innings_played,extras,runs_scored,runs_allowed,run_difference,result,game_id,school_id,stats_player_seq,season,OPP DP,GDP,division,score
0,4,0,0,0,0,0,0,0,0,0,0,1,,0,0,0,0,02/18/2024,away,16580,626,San Diego St.,9,True,1,7,-6,loss,4526081,551,2671911.0,2024,0.0,0.0,1.0,
0,3,0,0,0,0,0,0,0,1,0,0,2,,0,0,0,0,02/23/2024,away,16580,657,Southern California,9,True,4,0,4,win,4526561,551,2671911.0,2024,0.0,0.0,1.0,
2,4,2,0,0,5,1,2,1,0,0,0,0,,0,0,0,0,02/16/2024,neutral,16580,700,Texas Tech,9,True,6,2,4,win,4525566,694,2650934.0,2024,0.0,0.0,1.0,
0,5,0,0,0,0,0,0,0,0,0,0,3,,0,0,0,0,02/17/2024,neutral,16580,522,Oklahoma,10,True,1,5,-4,loss,4525829,694,2650934.0,2024,0.0,0.0,1.0,
2,4,2,0,1,7,1,3,1,0,0,0,0,,0,0,0,0,02/18/2024,neutral,16580,51,Baylor,9,True,11,5,6,win,4526129,694,2650934.0,2024,1.0,1.0,1.0,
0,4,0,0,0,0,0,0,0,0,0,0,1,,0,0,0,0,02/20/2024,home,16580,456,UNC Asheville,9,True,3,2,1,win,4526309,694,2650934.0,2024,0.0,0.0,1.0,
1,2,1,0,0,4,1,2,1,0,0,0,1,,0,0,0,0,02/21/2024,home,16580,198,ETSU,9,True,16,0,16,win,4526407,694,2650934.0,2024,0.0,0.0,1.0,
1,4,2,0,0,2,0,1,0,0,0,0,0,,0,0,0,0,02/23/2024,home,16580,14,UAlbany,9,True,8,5,3,win,4526497,694,2650934.0,2024,0.0,0.0,1.0,
1,5,2,1,0,3,0,3,0,0,0,0,1,,0,0,0,0,02/24/2024,home,16580,14,UAlbany,9,True,21,6,15,win,4526805,694,2650934.0,2024,0.0,0.0,1.0,
0,4,1,0,0,1,0,0,1,0,0,0,3,,0,0,0,0,02/16/2024,away,16580,706,UTSA,9,True,10,9,1,win,4525499,702,2471956.0,2024,0.0,0.0,1.0,
0,3,1,0,0,1,0,1,0,0,0,0,0,,0,0,0,0,02/17/2024,away,16580,706,UTSA,9,True,2,7,-5,loss,4525796,702,2471956.0,2024,0.0,0.0,1.0,
0,3,1,0,0,1,0,0,1,0,0,0,0,,0,0,0,0,02/18/2024,away,16580,706,UTSA,9,True,5,4,1,win,4526056,702,2471956.0,2024,0.0,0.0,1.0,
0,4,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,02/20/2024,home,16580,700,Texas Tech,9,True,1,13,-12,loss,4526345,702,2471956.0,2024,0.0,0.0,1.0,
0,1,0,0,0,0,0,1,0,0,1,0,0,,0,0,0,0,02/23/2024,home,16580,67,Boston College,9,True,11,6,5,win,4526532,702,2471956.0,2024,0.0,0.0,1.0,
0,4,0,0,0,0,0,0,0,0,0,0,2,,0,0,0,0,02/24/2024,home,16580,67,Boston College,9,True,0,3,-3,loss,4526828,702,2471956.0,2024,1.0,0.0,1.0,
0,3,1,0,0,1,0,1,0,0,0,0,0,,0,0,0,0,02/17/2024,away,16580,415,Miami (FL),9,True,2,19,-17,loss,4525815,471,2968656.0,2024,0.0,0.0,1.0,
0,4,0,0,0,0,0,0,0,0,0,0,1,,0,0,0,0,02/17/2024,away,16580,415,Miami (FL),9,True,0,16,-16,loss,4545054,471,2968656.0,2024,0.0,0.0,1.0,
1,2,0,0,0,0,0,0,1,2,0,0,1,,0,0,0,0,02/23/2024,away,16580,1068,Elon,10,True,5,4,1,win,4526694,471,2968656.0,2024,0.0,0.0,1.0,
0,4,2,0,0,2,0,2,0,1,0,0,0,,0,0,0,0,02/24/2024,away,16580,1068,Elon,9,True,8,27,-19,loss,4527147,471,2968656.0,2024,0.0,0.0,1.0,
2,3,1,0,0,4,1,1,2,0,0,0,1,,0,0,0,0,02/25/2024,away,16580,1068,Elon,9,True,7,12,-5,loss,4527397,471,2968656.0,2024,0.0,0.0,1.0,
0,3,1,0,0,1,0,0,1,0,0,0,0,,0,0,2,0,02/16/2024,home,16580,249,George Washington,9,True,4,1,3,win,4525484,523,2674896.0,2024,0.0,0.0,1.0,
2,3,2,2,0,4,0,1,1,0,1,0,0,,0,0,1,0,02/17/2024,home,16580,249,George Washington,9,True,7,4,3,win,4525721,523,2674896.0,2024,0.0,0.0,1.0,
1,3,1,0,0,1,0,2,0,0,2,0,0,,0,0,0,0,02/18/2024,home,16580,249,George Washington,9,True,8,2,6,win,4526042,523,2674896.0,2024,0.0,0.0,1.0,
0,2,0,0,0,0,0,0,2,0,0,0,0,,0,0,1,0,02/21/2024,away,16580,746,Virginia,9,True,0,8,-8,loss,5246613,523,2674896.0,2024,0.0,0.0,1.0,
1,4,1,0,0,4,1,2,0,0,0,0,3,,0,0,0,0,02/23/2024,home,16580,587,Rutgers,9,True,3,10,-7,loss,4780618,523,2674896.0,2024,0.0,0.0,1.0,
0,4,1,0,0,1,0,2,0,0,0,1,1,,0,0,0,0,02/24/2024,home,16580,587,Rutgers,9,True,6,7,-1,loss,4780619,523,2674896.0,2024,0.0,0.0,1.0,
2,3,2,1,0,3,0,2,0,0,0,0,0,,0,0,0,0,02/17/2024,home,16580,639,Siena,9,True,27,13,14,win,4525905,363,2823441.0,2024,0.0,0.0,1.0,
2,3,1,0,0,1,0,0,1,1,0,0,1,,0,0,1,0,02/17/2024,home,16580,639,Siena,9,True,12,2,10,win,4542654,363,2823441.0,2024,0.0,0.0,1.0,
0,5,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,02/20/2024,away,16580,740,VCU,9,True,6,16,-10,loss,4526291,363,2823441.0,2024,0.0,0.0,1.0,
0,3,1,0,0,1,0,2,0,1,1,0,2,,0,0,0,0,02/23/2024,home,16580,310,Iona,9,True,15,8,7,win,4526708,363,2823441.0,2024,0.0,0.0,1.0,
