R,AB,H,2B,3B,TB,HR,RBI,BB,HBP,SF,SH,K,DP,CS,Picked,SB,IBB,date,field,season_id,opponent_id,opponent_name,innings_played,extras,runs_scored,runs_allowed,run_difference,result,game_id,school_id,stats_player_seq,season,OPP DP,GDP,score,player_id,division
0,1,1,0,0,1,0,0,0,0,0,0,0,,0,0,0,0,03/03/2023,neutral,16340,410,Merrimack,9,True,18,4,14,win,2392806,439,2824778.0,2023,0.0,0.0,,2824778.0,1.0
2,4,3,1,0,4,0,1,1,0,0,0,0,,0,0,0,0,02/17/2023,away,16340,465,UNLV,9,True,6,14,-8,loss,2390248,534,2814863.0,2023,0.0,0.0,,2814863.0,1.0
0,4,2,0,0,2,0,0,0,0,0,0,0,,0,1,0,0,02/18/2023,away,16340,465,UNLV,9,True,3,8,-5,loss,2390497,534,2814863.0,2023,0.0,0.0,,2814863.0,1.0
1,5,3,0,0,3,0,0,0,0,0,0,0,,0,0,1,0,02/19/2023,away,16340,465,UNLV,9,True,6,31,-25,loss,2390816,534,2814863.0,2023,0.0,0.0,,2814863.0,1.0
2,4,4,1,0,5,0,1,0,0,0,1,0,,0,0,0,0,02/24/2023,home,16340,797,Milwaukee,9,True,9,6,3,win,2391329,534,2814863.0,2023,0.0,0.0,,2814863.0,1.0
0,3,2,0,0,2,0,0,0,0,0,0,0,,0,0,0,0,02/25/2023,home,16340,797,Milwaukee,9,True,3,4,-1,loss,2391670,534,2814863.0,2023,0.0,0.0,,2814863.0,1.0
0,4,1,0,0,1,0,0,0,0,0,0,1,,0,0,0,0,02/25/2023,home,16340,797,Milwaukee,9,True,2,4,-2,loss,2408129,534,2814863.0,2023,0.0,0.0,,2814863.0,1.0
1,5,3,1,0,4,0,1,0,0,0,0,0,,0,0,1,0,03/01/2023,home,16340,674,Stanford,9,True,5,15,-10,loss,2392325,534,2814863.0,2023,0.0,0.0,,2814863.0,1.0
0,5,0,0,0,0,0,0,0,0,0,0,1,,0,0,0,0,03/03/2023,away,16340,472,New Mexico St.,9,True,6,4,2,win,2392608,534,2814863.0,2023,1.0,0.0,,2814863.0,1.0
1,5,2,0,0,2,0,0,0,0,0,0,2,,0,0,0,0,03/04/2023,away,16340,472,New Mexico St.,10,True,4,3,1,win,2392909,534,2814863.0,2023,0.0,0.0,,2814863.0,1.0
2,5,1,0,0,1,0,1,0,1,0,0,0,,0,0,0,0,03/05/2023,away,16340,472,New Mexico St.,9,True,13,4,9,win,2393329,534,2814863.0,2023,0.0,0.0,,2814863.0,1.0
0,3,1,0,0,1,0,0,1,0,0,0,1,,0,0,1,0,03/07/2023,away,16340,96,Fresno St.,9,True,4,5,-1,loss,2393953,534,2814863.0,2023,0.0,0.0,,2814863.0,1.0
1,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,02/24/2023,home,16340,52,Bellarmine,9,True,2,4,-2,loss,2391458,661,2303515.0,2023,0.0,0.0,,2303515.0,1.0
0,3,1,0,0,1,0,0,0,0,0,0,0,,0,0,0,0,02/25/2023,home,16340,52,Bellarmine,9,True,6,3,3,win,2391834,661,2303515.0,2023,0.0,0.0,,2303515.0,1.0
1,2,0,0,0,0,0,0,1,0,0,0,1,,0,0,0,0,02/26/2023,home,16340,52,Bellarmine,9,True,18,5,13,win,2392147,661,2303515.0,2023,0.0,0.0,,2303515.0,1.0
1,4,1,0,1,3,0,0,0,1,0,0,3,,0,0,0,0,03/07/2023,home,16340,43,Austin Peay,9,True,6,10,-4,loss,2393945,661,2303515.0,2023,0.0,0.0,,2303515.0,1.0
0,3,0,0,0,0,0,0,0,0,0,0,2,,0,0,0,0,02/11/2023,away,16340,30153,Union (TN),9,True,7,3,4,win,2408913,1438,2808292.0,2023,0.0,0.0,,2808292.0,2.0
0,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,02/23/2023,neutral,16340,30137,Malone,9,True,4,2,2,win,2408297,1438,2808292.0,2023,0.0,0.0,,2808292.0,2.0
1,3,1,0,0,1,0,1,1,0,0,0,2,,0,0,0,0,02/24/2023,neutral,16340,30137,Malone,9,True,3,5,-2,loss,2391363,1438,2808292.0,2023,0.0,0.0,,2808292.0,2.0
0,3,1,0,0,1,0,0,1,0,0,0,0,,0,0,0,0,02/17/2023,away,16340,522,Oklahoma,9,True,2,5,-3,loss,2390383,30135,2305164.0,2023,0.0,0.0,,2305164.0,1.0
1,5,1,0,0,1,0,1,0,0,0,0,1,,0,0,0,0,02/18/2023,away,16340,522,Oklahoma,9,True,5,2,3,win,2390748,30135,2305164.0,2023,0.0,0.0,,2305164.0,1.0
0,4,1,0,0,1,0,0,0,0,0,0,1,,0,0,0,0,02/19/2023,away,16340,522,Oklahoma,9,True,6,3,3,win,2391046,30135,2305164.0,2023,0.0,0.0,,2305164.0,1.0
0,3,0,0,0,0,0,0,0,0,0,0,2,,0,0,0,0,02/21/2023,away,16340,521,Oklahoma St.,9,True,0,2,-2,loss,2391166,30135,2305164.0,2023,0.0,0.0,,2305164.0,1.0
1,4,2,0,0,2,0,1,0,0,0,0,1,,0,0,1,0,02/25/2023,away,16340,466,Nevada,9,True,5,8,-3,loss,2421133,30135,2305164.0,2023,0.0,0.0,,2305164.0,1.0
0,4,0,0,0,0,0,0,0,0,0,0,2,,0,0,0,0,02/25/2023,away,16340,466,Nevada,9,True,4,0,4,win,2421134,30135,2305164.0,2023,0.0,0.0,,2305164.0,1.0
1,3,0,0,0,0,0,0,1,1,0,0,1,,0,0,0,0,02/26/2023,away,16340,466,Nevada,9,True,10,13,-3,loss,2421135,30135,2305164.0,2023,0.0,0.0,,2305164.0,1.0
0,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,02/28/2023,away,16340,29,Arizona,9,True,7,16,-9,loss,2392446,30135,2305164.0,2023,0.0,0.0,,2305164.0,1.0
0,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,03/03/2023,home,16340,635,Seton Hall,9,True,13,7,6,win,2392858,30135,2305164.0,2023,0.0,0.0,,2305164.0,1.0
0,4,2,0,0,2,0,0,0,0,0,0,0,,0,0,0,0,03/04/2023,home,16340,635,Seton Hall,9,True,4,3,1,win,2393307,30135,2305164.0,2023,0.0,0.0,,2305164.0,1.0
0,4,0,0,0,0,0,0,0,0,0,0,1,,0,0,0,0,03/05/2023,home,16340,635,Seton Hall,9,True,3,12,-9,loss,2393489,30135,2305164.0,2023,0.0,0.0,,2305164.0,1.0
0,4,0,0,0,0,0,0,0,0,0,0,1,,0,0,0,0,03/07/2023,home,16340,635,Seton Hall,9,True,8,4,4,win,2393929,30135,2305164.0,2023,0.0,0.0,,2305164.0,1.0
0,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,03/04/2023,neutral,16340,47,Ball St.,9,True,0,11,-11,loss,2392773,308,2673211.0,2023,0.0,0.0,,2673211.0,1.0
1,4,1,1,0,2,0,0,0,0,0,0,2,,0,0,0,0,02/02/2023,home,16340,568,Regis (CO),9,True,3,6,-3,loss,2389663,30199,2670718.0,2023,0.0,0.0,,2670718.0,2.0
0,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,02/04/2023,home,16340,568,Regis (CO),9,True,6,10,-4,loss,2389757,30199,2670718.0,2023,0.0,0.0,,2670718.0,2.0
0,3,0,0,0,0,0,0,0,0,0,0,1,,0,0,0,0,02/04/2023,home,16340,568,Regis (CO),9,True,4,8,-4,loss,2407984,30199,2670718.0,2023,0.0,0.0,,2670718.0,2.0
0,2,0,0,0,0,0,0,0,0,0,0,1,,0,0,0,0,02/11/2023,home,16340,92,Cal St. Dom. Hills,9,True,3,1,2,win,2407822,30199,2670718.0,2023,0.0,0.0,,2670718.0,2.0
0,3,1,0,0,1,0,1,0,0,0,0,0,,0,0,0,0,02/18/2023,away,16340,30198,Cal St. San Marcos,9,True,2,6,-4,loss,2390643,30199,2670718.0,2023,0.0,0.0,,2670718.0,2.0
0,3,0,0,0,0,0,0,0,0,0,0,2,,0,0,0,0,02/25/2023,away,16340,2697,Hawaii Hilo,9,True,4,6,-2,loss,2391960,30199,2670718.0,2023,1.0,1.0,,2670718.0,2.0
0,2,2,0,0,2,0,0,0,0,0,1,0,,0,0,0,0,03/02/2023,away,16340,2696,Hawaii Pacific,9,True,6,5,1,win,2408306,30199,2670718.0,2023,0.0,0.0,,2670718.0,2.0
0,3,2,0,0,2,0,1,0,0,0,0,1,,0,0,0,0,02/17/2023,away,16340,367,Louisville,9,True,1,7,-6,loss,2390376,83,2308332.0,2023,0.0,0.0,,2308332.0,1.0
1,3,0,0,0,0,0,0,1,0,0,0,2,,0,0,0,0,02/18/2023,away,16340,367,Louisville,9,True,2,11,-9,loss,2390683,83,2308332.0,2023,0.0,0.0,,2308332.0,1.0
0,2,0,0,0,0,0,0,2,0,0,0,0,,0,0,0,0,02/19/2023,away,16340,367,Louisville,9,True,3,5,-2,loss,2390995,83,2308332.0,2023,0.0,0.0,,2308332.0,1.0
0,4,0,0,0,0,0,0,0,0,0,0,2,,0,0,0,0,02/24/2023,neutral,16340,67,Boston College,9,True,1,9,-8,loss,2391352,83,2308332.0,2023,0.0,0.0,,2308332.0,1.0
0,4,2,0,0,2,0,2,0,0,0,0,0,,1,0,0,0,02/25/2023,neutral,16340,47,Ball St.,9,True,7,2,5,win,2391970,83,2308332.0,2023,0.0,0.0,,2308332.0,1.0
1,3,0,0,0,0,0,0,1,1,0,0,1,,0,0,0,0,02/26/2023,neutral,16340,410,Merrimack,9,True,12,3,9,win,2392081,83,2308332.0,2023,0.0,0.0,,2308332.0,1.0
0,5,0,0,0,0,0,0,0,0,0,0,2,,0,0,1,0,02/28/2023,away,16340,545,Pittsburgh,9,True,8,11,-3,loss,2392338,83,2308332.0,2023,0.0,0.0,,2308332.0,1.0
0,2,1,0,0,1,0,0,1,0,0,1,0,,0,0,0,0,03/04/2023,away,16340,488,N.C. A&T,9,True,2,16,-14,loss,2392952,83,2308332.0,2023,0.0,0.0,,2308332.0,1.0
0,4,0,0,0,0,0,0,0,0,0,0,1,,0,0,0,0,03/04/2023,neutral,16340,774,Western Mich.,9,True,5,15,-10,loss,2393029,83,2308332.0,2023,0.0,0.0,,2308332.0,1.0
0,4,2,1,0,3,0,1,0,0,0,0,1,,0,0,0,0,03/05/2023,neutral,16340,774,Western Mich.,9,True,5,9,-4,loss,2393421,83,2308332.0,2023,0.0,0.0,,2308332.0,1.0
1,3,2,0,0,2,0,1,1,0,0,0,0,,0,0,1,0,03/08/2023,home,16340,386,Marist,9,True,5,6,-1,loss,2393997,83,2308332.0,2023,0.0,0.0,,2308332.0,1.0
1,4,1,0,0,1,0,0,0,0,0,1,0,,0,0,0,0,02/03/2023,away,16340,567,Redlands,9,True,11,12,-1,loss,2389707,1010,2136270.0,2023,0.0,0.0,,2136270.0,2.0
0,3,0,0,0,0,0,1,0,1,0,0,1,,0,0,0,0,02/04/2023,away,16340,93,Cal St. San B'dino,9,True,5,8,-3,loss,2389761,1010,2136270.0,2023,0.0,0.0,,2136270.0,2.0
0,3,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,02/04/2023,away,16340,93,Cal St. San B'dino,9,True,5,7,-2,loss,2407988,1010,2136270.0,2023,0.0,0.0,,2136270.0,2.0
1,3,0,0,0,0,0,0,0,1,0,0,0,,0,0,0,0,02/05/2023,away,16340,93,Cal St. San B'dino,9,True,6,19,-13,loss,2389831,1010,2136270.0,2023,1.0,1.0,,2136270.0,2.0
0,3,2,0,0,2,0,0,1,0,0,0,0,,0,0,0,0,02/12/2023,away,16340,98,Cal St. East Bay,9,True,2,0,2,win,2390141,1010,2136270.0,2023,0.0,0.0,,2136270.0,2.0
0,1,1,0,0,1,0,0,0,1,0,0,0,,0,0,0,0,02/12/2023,away,16340,98,Cal St. East Bay,9,True,0,6,-6,loss,2407993,1010,2136270.0,2023,0.0,0.0,,2136270.0,2.0
1,4,3,1,0,4,0,2,1,0,0,0,1,,0,0,0,0,02/13/2023,away,16340,98,Cal St. East Bay,9,True,13,7,6,win,2418290,1010,2136270.0,2023,0.0,0.0,,2136270.0,2.0
0,3,0,0,0,0,0,0,0,0,0,0,2,,0,0,0,0,02/13/2023,away,16340,98,Cal St. East Bay,9,True,2,4,-2,loss,2418295,1010,2136270.0,2023,0.0,0.0,,2136270.0,2.0
1,5,2,0,0,2,0,1,0,0,0,0,1,,0,0,0,0,02/14/2023,away,16340,30123,Academy of Art,9,True,8,9,-1,loss,2390192,1010,2136270.0,2023,0.0,0.0,,2136270.0,2.0
0,4,1,0,0,1,0,0,0,0,0,0,1,,0,0,0,0,02/17/2023,away,16340,103,Stanislaus St.,9,True,6,0,6,win,2420020,1010,2136270.0,2023,0.0,0.0,,2136270.0,2.0
1,4,1,0,0,1,0,0,0,0,0,0,0,,0,0,0,0,02/17/2023,away,16340,103,Stanislaus St.,9,True,4,8,-4,loss,2420026,1010,2136270.0,2023,0.0,0.0,,2136270.0,2.0
0,3,1,0,0,1,0,0,0,0,0,0,0,,0,0,0,0,02/18/2023,away,16340,103,Stanislaus St.,9,True,1,9,-8,loss,2390691,1010,2136270.0,2023,0.0,0.0,,2136270.0,2.0
0,3,1,0,0,1,0,0,0,0,0,0,0,,0,0,0,0,02/18/2023,away,16340,103,Stanislaus St.,9,True,0,6,-6,loss,2408002,1010,2136270.0,2023,0.0,0.0,,2136270.0,2.0
0,4,2,0,0,2,0,0,1,0,0,0,0,,0,0,0,0,02/26/2023,home,16340,1343,Saint Martin's,9,True,10,13,-3,loss,2392170,1010,2136270.0,2023,0.0,0.0,,2136270.0,2.0
0,3,3,1,0,4,0,1,0,0,0,0,0,,0,0,0,0,02/26/2023,home,16340,1343,Saint Martin's,9,True,6,4,2,win,2408393,1010,2136270.0,2023,0.0,0.0,,2136270.0,2.0
0,1,1,1,0,2,0,0,0,0,0,0,0,,0,0,0,0,02/18/2023,home,16340,30024,Utah Valley,9,True,1,7,-6,loss,2407902,108,2827503.0,2023,0.0,0.0,,2827503.0,1.0
0,1,0,0,0,0,0,0,0,0,0,0,1,,0,0,0,0,02/19/2023,home,16340,30024,Utah Valley,9,True,20,4,16,win,2391044,108,2827503.0,2023,0.0,0.0,,2827503.0,1.0
0,3,0,0,0,0,0,0,0,0,0,0,2,,0,0,0,0,02/25/2023,home,16340,631,Santa Clara,9,True,4,0,4,win,2392001,108,2827503.0,2023,0.0,0.0,,2827503.0,1.0
0,2,0,0,0,0,0,0,0,0,0,0,1,,0,0,0,0,03/03/2023,away,16340,1356,Seattle U,9,True,1,11,-10,loss,2392634,108,2827503.0,2023,0.0,0.0,,2827503.0,1.0
1,1,0,0,0,0,0,0,1,0,0,0,0,,0,0,0,0,02/05/2023,home,16340,144,Clark Atlanta,9,True,12,6,6,win,2389830,445,2673205.0,2023,0.0,0.0,,2673205.0,2.0
1,3,0,0,0,0,0,0,1,0,0,0,3,,0,0,0,0,02/17/2023,away,16340,165,Coppin St.,9,True,4,12,-8,loss,2390387,617,2344892.0,2023,0.0,0.0,,2344892.0,1.0
0,3,0,0,0,0,0,0,1,0,0,0,1,,0,0,0,0,02/18/2023,away,16340,165,Coppin St.,9,True,7,14,-7,loss,2390626,617,2344892.0,2023,0.0,0.0,,2344892.0,1.0
0,2,0,0,0,0,0,0,0,0,0,0,1,,0,0,0,0,02/19/2023,away,16340,165,Coppin St.,9,True,8,16,-8,loss,2391021,617,2344892.0,2023,0.0,0.0,,2344892.0,1.0
1,4,1,0,0,4,1,1,0,0,0,0,1,,0,0,0,0,03/04/2023,away,16340,178,Delaware St.,9,True,6,10,-4,loss,2392942,617,2344892.0,2023,0.0,0.0,,2344892.0,1.0
1,4,1,0,0,1,0,0,0,0,0,0,1,,1,0,0,0,03/04/2023,away,16340,178,Delaware St.,9,True,9,11,-2,loss,2392661,617,2344892.0,2023,0.0,0.0,,2344892.0,1.0
0,3,0,0,0,0,0,1,0,1,0,0,1,,0,0,0,0,03/05/2023,neutral,16340,391,UMBC,9,True,4,6,-2,loss,2393476,617,2344892.0,2023,0.0,0.0,,2344892.0,1.0
0,1,0,0,0,0,0,0,2,1,0,0,0,,0,0,0,0,03/08/2023,away,16340,236,Fordham,9,True,0,11,-11,loss,2394060,617,2344892.0,2023,0.0,0.0,,2344892.0,1.0
0,4,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,02/17/2023,home,16340,392,Maryland,9,True,8,7,1,win,2390476,651,2486036.0,2023,0.0,0.0,,2486036.0,1.0
0,3,1,1,0,2,0,0,0,1,0,0,0,,0,0,0,0,02/19/2023,home,16340,392,Maryland,9,True,5,9,-4,loss,2390985,651,2486036.0,2023,0.0,0.0,,2486036.0,1.0
0,1,0,0,0,0,0,0,0,0,0,0,1,,0,0,0,0,02/21/2023,home,16340,235,Florida,9,True,1,6,-5,loss,2391082,651,2486036.0,2023,0.0,0.0,,2486036.0,1.0
0,3,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,02/22/2023,away,16340,235,Florida,9,True,10,9,1,win,2391204,651,2486036.0,2023,0.0,0.0,,2486036.0,1.0
1,4,2,0,0,2,0,0,0,0,0,0,2,,1,0,0,0,02/24/2023,away,16340,229,Fla. Atlantic,9,True,5,1,4,win,2391570,651,2486036.0,2023,0.0,0.0,,2486036.0,1.0
0,4,2,1,0,3,0,2,1,1,0,0,0,,0,0,0,0,02/25/2023,away,16340,229,Fla. Atlantic,11,True,7,8,-1,loss,2391968,651,2486036.0,2023,0.0,0.0,,2486036.0,1.0
1,4,2,0,0,2,0,0,0,0,0,0,0,,0,0,0,0,02/26/2023,away,16340,229,Fla. Atlantic,9,True,6,8,-2,loss,2392165,651,2486036.0,2023,0.0,0.0,,2486036.0,1.0
1,6,3,1,0,7,1,1,0,0,0,0,1,,0,0,0,0,03/01/2023,away,16340,234,Florida St.,13,True,6,7,-1,loss,2392568,651,2486036.0,2023,0.0,0.0,,2486036.0,1.0
0,3,1,1,0,2,0,1,0,0,0,0,0,,0,0,0,0,03/03/2023,home,16340,500,Northeastern,9,True,3,15,-12,loss,2392887,651,2486036.0,2023,0.0,0.0,,2486036.0,1.0
