R,AB,H,2B,3B,TB,HR,RBI,BB,HBP,SF,SH,K,DP,CS,Picked,SB,IBB,date,field,season_id,opponent_id,opponent_name,innings_played,extras,runs_scored,runs_allowed,run_difference,result,game_id,school_id,stats_player_seq,season,OPP DP,score,GDP,division
0,4,1,1,0,2,0,0,0,0,0,0,0,,0,0,0,0,02/18/2023,home,16340,334,Kentucky,9,True,1,5,-4,loss,2390531,1068,2677877.0,2023,0.0,,0.0,1.0
0,4,0,0,0,0,0,0,0,0,0,0,1,,0,0,0,0,02/19/2023,home,16340,334,Kentucky,9,True,0,4,-4,loss,2390853,1068,2677877.0,2023,0.0,,0.0,1.0
1,4,1,1,0,2,0,0,0,1,0,0,2,,0,0,0,0,02/18/2023,home,16340,587,Rutgers,9,True,10,0,10,win,2390536,115,2827640.0,2023,1.0,,1.0,1.0
1,1,1,0,0,1,0,0,1,0,0,0,0,,0,0,0,0,02/19/2023,home,16340,587,Rutgers,9,True,3,16,-13,loss,2390859,115,2827640.0,2023,0.0,,0.0,1.0
1,5,0,0,0,0,0,1,0,0,0,0,1,,0,0,0,0,02/17/2023,home,16340,236,Fordham,9,True,8,0,8,win,2390475,1045,2807584.0,2023,0.0,,0.0,1.0
3,3,2,0,0,8,2,4,1,0,0,0,1,,0,0,0,0,02/18/2023,home,16340,236,Fordham,9,True,19,5,14,win,2390733,1045,2807584.0,2023,0.0,,0.0,1.0
3,3,1,0,0,1,0,2,2,0,0,0,0,,0,0,0,0,02/19/2023,home,16340,236,Fordham,9,True,13,1,12,win,2390918,1045,2807584.0,2023,0.0,,0.0,1.0
1,3,0,0,0,0,0,0,0,0,0,1,0,,0,0,0,0,02/17/2023,neutral,16340,739,Villanova,9,True,7,2,5,win,2390887,111,2681298.0,2023,0.0,,0.0,1.0
1,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,02/18/2023,neutral,16340,754,Washington St.,9,True,4,17,-13,loss,2390592,111,2681298.0,2023,0.0,,0.0,1.0
2,4,2,0,0,2,0,0,0,0,0,0,0,,0,0,1,0,02/19/2023,neutral,16340,754,Washington St.,9,True,6,8,-2,loss,2390888,111,2681298.0,2023,0.0,,0.0,1.0
2,3,2,0,0,5,1,4,0,1,0,0,1,,0,0,0,0,02/18/2023,home,16340,464,Omaha,9,True,23,0,23,win,2390738,110,2472155.0,2023,0.0,,0.0,1.0
1,2,1,0,0,4,1,2,2,0,0,0,1,,0,0,0,0,02/19/2023,home,16340,464,Omaha,9,True,8,1,7,win,2390991,110,2472155.0,2023,0.0,,0.0,1.0
1,4,1,0,0,1,0,0,0,0,0,0,1,,0,0,0,0,02/19/2023,home,16340,711,Towson,9,True,10,2,8,win,2390854,10411,2680409.0,2023,0.0,,0.0,1.0
