season,season_id,school_id,stats_player_seq,division,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,K,IBB,TB,GDP,HBP,SH,SF,DP,Picked,OPP DP,RC,PA,BA,SecA,OBP,SLG,OPS,OPS+,ISO,BAbip,XR,XRR,XRB,PSN,RS%,HR%,K%,BB%,K-BB%,BB/K
2024,16580,6,2829470.0,1.0,13.0,33,4,5,0,0,0,1,3,0,2,10,0,5,0.0,1,0,1,0.0,0,0.0,1.305945945945946,36,0.152,0.152,0.222,0.152,0.374,-31.0,0.0,0.208,2.85,2.276,2.392,0.0,0.5,0.0,0.278,0.056,0.222,0.2
2024,16580,6,2829472.0,1.0,1.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0.0,0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,-100.0,0.0,,-0.098,-0.098,-0.096,,,0.0,1.0,0.0,1.0,0.0
2024,16580,6,2830988.0,1.0,11.0,25,1,2,0,0,0,1,1,1,2,12,0,2,1.0,1,0,0,0.0,0,2.0,0.3164285714285714,27,0.08,0.08,0.185,0.08,0.265,-57.0,0.0,0.154,-0.656,-0.404,0.312,0.0,0.2,0.0,0.444,0.074,0.37,0.167
2024,16580,6,2831693.0,1.0,7.0,12,1,1,0,0,1,2,0,0,2,4,0,4,1.0,0,0,0,0.0,0,1.0,0.6457142857142857,14,0.083,0.417,0.214,0.417,0.631,46.0,0.0,0.0,1.908,2.182,2.244,0.0,0.0,0.071,0.286,0.143,0.143,0.5
2024,16580,6,2942313.0,1.0,24.0,72,12,20,3,0,2,14,0,1,8,17,0,29,1.0,6,0,0,0.0,1,1.0,12.145116279069768,80,0.278,0.222,0.425,0.472,0.897,85.0,0.042,0.34,21.434,21.174,22.268,0.0,0.312,0.025,0.212,0.1,0.112,0.471
2024,16580,6,2942315.0,1.0,22.0,77,11,22,7,1,2,15,2,0,9,20,0,37,2.0,1,0,1,0.0,1,2.0,13.517727272727273,87,0.286,0.338,0.368,0.61,0.978,119.0,0.13,0.357,27.76,27.47,27.96,2.0,0.3,0.023,0.23,0.103,0.127,0.45
2024,16580,6,2943091.0,1.0,16.0,48,6,11,2,0,0,11,1,1,8,10,0,13,2.0,2,0,2,0.0,0,3.0,4.706,58,0.229,0.208,0.362,0.312,0.674,31.0,0.042,0.275,8.49,8.124,8.988,0.0,0.286,0.0,0.172,0.138,0.034,0.8
2024,16580,6,2972600.0,1.0,24.0,77,15,21,3,1,0,4,4,2,10,16,0,26,2.0,2,1,0,0.0,1,2.0,9.412,88,0.273,0.221,0.375,0.39,0.765,55.0,0.078,0.344,17.432,17.532,19.204,0.0,0.455,0.0,0.182,0.114,0.068,0.625
2024,16580,6,2972604.0,1.0,6.0,14,1,5,0,0,1,2,0,1,2,2,0,8,1.0,1,0,0,0.0,0,1.0,3.098823529411764,16,0.357,0.286,0.5,0.643,1.143,143.0,0.0,0.364,5.484,5.708,6.456,0.0,0.0,0.062,0.125,0.125,0.0,1.0
2024,16580,7,2308986.0,1.0,22.0,90,25,30,7,1,2,19,2,0,11,12,1,45,0.0,5,0,0,0.0,0,1.0,21.230566037735848,101,0.333,0.311,0.455,0.611,1.066,129.0,0.111,0.368,36.414,34.94,35.56,2.0,0.523,0.02,0.119,0.109,0.01,0.917
2024,16580,7,2493077.0,1.0,24.0,81,32,28,9,0,4,12,4,1,26,19,0,49,0.0,7,0,0,0.0,0,0.0,30.32350877192982,107,0.346,0.617,0.57,0.765,1.335,187.0,0.111,0.414,40.758,39.926,41.232,4.0,0.491,0.037,0.178,0.243,-0.065,1.368
2024,16580,7,2678609.0,1.0,1.0,1,0,0,0,0,0,0,1,0,0,1,0,0,0.0,0,0,0,0.0,0,0.0,0.52,1,0.0,1.0,0.0,0.0,0.0,-100.0,0.0,,0.082,0.082,0.084,0.0,,0.0,1.0,0.0,1.0,0.0
2024,16580,7,2678720.0,1.0,21.0,87,15,28,10,0,1,17,2,0,3,6,0,41,2.0,3,1,3,0.0,0,3.0,14.072577319587628,94,0.322,0.207,0.362,0.598,0.96,115.0,0.115,0.325,33.012,31.738,32.296,1.3,0.424,0.011,0.064,0.032,0.032,0.5
2024,16580,7,2678726.0,1.0,24.0,97,15,31,6,2,3,17,0,0,6,13,0,50,4.0,3,4,0,0.0,1,5.0,17.148363636363637,107,0.32,0.258,0.374,0.629,1.003,125.0,0.124,0.346,36.876,37.242,37.904,0.0,0.324,0.028,0.121,0.056,0.065,0.462
2024,16580,7,2821640.0,1.0,23.0,93,21,33,5,2,3,18,11,1,11,10,0,51,1.0,1,0,0,0.0,1,1.0,22.21790476190476,104,0.355,0.419,0.433,0.656,1.089,140.0,0.118,0.375,39.99,39.44,40.72,4.7,0.429,0.029,0.096,0.106,-0.01,1.1
2024,16580,7,2821675.0,1.0,21.0,74,22,26,6,0,6,20,3,0,11,13,0,50,0.0,3,1,3,0.0,0,0.0,23.361304347826085,89,0.351,0.514,0.449,0.838,1.287,195.0,0.081,0.345,41.246,39.286,39.912,4.0,0.471,0.067,0.146,0.124,0.022,0.846
2024,16580,7,2821699.0,1.0,2.0,4,0,1,0,0,0,0,0,0,0,0,0,1,0.0,1,0,0,0.0,0,0.0,0.504,4,0.25,0.0,0.5,0.25,0.75,27.0,0.0,0.25,0.91,0.866,0.892,,0.0,0.0,0.0,0.0,0.0,
2024,16580,7,2821791.0,1.0,14.0,44,5,12,3,0,0,13,0,0,4,8,0,15,2.0,0,0,1,0.0,0,3.0,4.5934693877551025,49,0.273,0.159,0.327,0.409,0.736,56.0,0.068,0.324,9.946,9.974,10.188,,0.312,0.0,0.163,0.082,0.081,0.5
2024,16580,7,2821802.0,1.0,12.0,28,5,10,2,0,1,11,0,1,5,8,0,15,0.0,4,0,0,0.0,0,0.0,8.435675675675675,33,0.357,0.321,0.576,0.643,1.219,151.0,0.071,0.474,12.336,12.066,12.932,0.0,0.222,0.03,0.242,0.152,0.09,0.625
