jersey,stats_player_seq,name,position,class_year,games_played,games_started,season,season_id,school,school_id
3,1327323,Lovell Bruce,OF,Jr,6,2,2014,11620,New England Col.,467
25,1207041,Kevin Caputo,3B,Sr,28,27,2014,11620,New England Col.,467
24,1442396,Zachary Carrano,C,So,7,7,2014,11620,New England Col.,467
50,1556642,Anthony Caruso,P,Jr,1,0,2014,11620,New England Col.,467
18,1442393,Myles Comeau,OF,So,16,9,2014,11620,New England Col.,467
22,1556641,Steve Deluca,C,Fr,25,25,2014,11620,New England Col.,467
21,1327325,Francesco Dire,3B,Jr,30,29,2014,11620,New England Col.,467
10,1556638,Jake Dotson,3B,Fr,5,2,2014,11620,New England Col.,467
30,1207044,Scott Fortune,1B,Sr,28,27,2014,11620,New England Col.,467
33,1556644,Sebastian Hernandez,INF,Fr,1,0,2014,11620,New England Col.,467
2,1327316,Jordan Hubbard,SS,Jr,31,31,2014,11620,New England Col.,467
32,1207045,Eric Johnson,P,Sr,29,26,2014,11620,New England Col.,467
8,1207034,Nick Leishear,P,Sr,7,4,2014,11620,New England Col.,467
12,1327320,Richard Martinelli,P,Jr,4,0,2014,11620,New England Col.,467
19,1442394,Zach Nolan,C,So,1,1,2014,11620,New England Col.,467
15,1556640,Mark Nowak,P,Fr,2,0,2014,11620,New England Col.,467
1,1556635,Stanley Petteway,P,Fr,24,17,2014,11620,New England Col.,467
35,1556645,Brandon Quirk,P,Jr,8,5,2014,11620,New England Col.,467
11,1327319,Christopher Smith,OF,Jr,31,30,2014,11620,New England Col.,467
31,1556643,Dante Vinciarelli,INF,Jr,2,1,2014,11620,New England Col.,467
16,1442391,Michael Young,INF,So,10,5,2014,11620,New England Col.,467
4,1442387,Greg Appleman,INF,Jr,9,6,2015,12080,New England Col.,467
5,1556636,Vincent Backert,3B,So,33,33,2015,12080,New England Col.,467
9,1556637,Kyle Bernier,P,So,6,3,2015,12080,New England Col.,467
35,1666936,Brighton Bischofberger,P,Fr,0,0,2015,12080,New England Col.,467
25,1666930,William Bregonzio,OF,So,5,0,2015,12080,New England Col.,467
3,1327323,Lovell Bruce,OF,Sr,9,2,2015,12080,New England Col.,467
24,1442396,Zachary Carrano,C,Jr,30,30,2015,12080,New England Col.,467
18,1442393,Myles Comeau,OF,Jr,12,5,2015,12080,New England Col.,467
6,1442390,Conor Crouse,OF,So,26,25,2015,12080,New England Col.,467
22,1556641,Steve Deluca,C,So,32,32,2015,12080,New England Col.,467
21,1327325,Francesco Dire,3B,Sr,31,31,2015,12080,New England Col.,467
28,1666932,Chris Donovan,OF,Fr,4,0,2015,12080,New England Col.,467
10,1556638,Jake Dotson,3B,So,5,0,2015,12080,New England Col.,467
8,1666924,Raymond Fernandez,C,Fr,3,3,2015,12080,New England Col.,467
2,1327316,Jordan Hubbard,SS,Sr,33,33,2015,12080,New England Col.,467
44,1442395,Matt Krum,1B,Jr,26,21,2015,12080,New England Col.,467
12,1327320,Richard Martinelli,P,Sr,0,0,2015,12080,New England Col.,467
30,1442389,Andrew Mead,OF,Jr,1,0,2015,12080,New England Col.,467
50,1666938,Steve Munson,1B,Fr,11,5,2015,12080,New England Col.,467
19,1442394,Zach Nolan,C,Jr,0,0,2015,12080,New England Col.,467
23,1666929,Kenneth Olivieri,P,Jr,1,0,2015,12080,New England Col.,467
15,1666926,Joe Paliotte,OF,Fr,29,27,2015,12080,New England Col.,467
1,1556635,Stanley Petteway,P,So,26,22,2015,12080,New England Col.,467
13,1666925,Tomas Pueyo,2B,So,1,0,2015,12080,New England Col.,467
13,1669038,Tomas Pueyo,2B,N/A,8,2,2015,12080,New England Col.,467
26,1556645,Brandon Quirk,P,Sr,10,7,2015,12080,New England Col.,467
11,1327319,Christopher Smith,OF,Sr,31,31,2015,12080,New England Col.,467
31,1556643,Dante Vinciarelli,INF,Sr,4,0,2015,12080,New England Col.,467
27,1666931,Garrett Waldron,1B,Fr,17,7,2015,12080,New England Col.,467
16,1442391,Michael Young,INF,Jr,3,0,2015,12080,New England Col.,467
