App,GS,IP,CG,H,R,ER,BB,SO,SHO,BF,P-OAB,2B-A,3B-A,Bk,HR-A,WP,HB,IBB,Inh Run,Inh Run Score,SHA,SFA,pitches,GO,FO,W,L,SV,OrdAppeared,KL,date,field,season_id,opponent_id,opponent_name,innings_played,extras,runs_scored,runs_allowed,run_difference,result,game_id,school_id,stats_player_seq,season,pickoffs,score,Pitches,division
1,1.0,4.2,0.0,4,3,2,1,7,0,20,17,2,0,0,0,0,0,0,0,0,2,0,78.0,5,2,0,1,0,1,0,02/18/2023,home,16340,334,Kentucky,9,True,1,5,-4,loss,2390531,1068,2822960,2023,0.0,,,1.0
1,1.0,3.0,0.0,2,0,0,1,4,0,10,9,0,0,0,0,0,0,0,0,0,0,0,39.0,3,0,0,0,0,1,2,02/19/2023,neutral,16340,694,Tennessee,9,True,0,7,-7,loss,2391057,112,2112950,2023,0.0,,,1.0
1,0.0,2.0,0.0,1,0,0,1,4,0,8,7,0,0,0,0,0,0,0,0,0,0,0,37.0,0,2,0,0,0,2,1,02/17/2023,home,16340,236,Fordham,9,True,8,0,8,win,2390475,1045,2658800,2023,0.0,,,1.0
1,0.0,1.0,0.0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,8.0,2,1,0,0,0,8,0,02/19/2023,home,16340,576,Rider,9,True,2,17,-15,loss,2390860,1092,1976653,2023,0.0,,,1.0
1,0.0,3.0,0.0,1,0,0,4,5,0,14,9,1,0,0,0,0,0,2,0,0,1,0,50.0,2,2,1,0,0,5,0,02/19/2023,away,16340,404,Memphis,11,True,9,8,1,win,2390863,625,2493706,2023,0.0,,,1.0
1,0.0,1.0,0.0,0,0,0,0,1,0,3,3,0,0,0,0,0,0,0,0,0,0,0,10.0,0,2,0,0,0,3,0,02/19/2023,home,16340,587,Rutgers,9,True,3,16,-13,loss,2390859,115,2501516,2023,0.0,,,1.0
1,0.0,1.1,0.0,0,0,0,1,2,0,5,4,0,0,0,0,0,0,0,0,0,0,0,20.0,1,1,0,0,0,6,1,02/19/2023,neutral,16340,428,Minnesota,9,True,13,2,11,win,2391059,104,2679401,2023,0.0,,,1.0
1,0.0,1.0,0.0,1,0,0,0,3,0,4,4,0,0,0,0,0,0,0,0,0,0,0,14.0,0,0,0,0,0,3,1,02/17/2023,home,16340,718,Tulane,9,True,3,0,3,win,2390446,109,2470258,2023,0.0,,,1.0
1,0.0,0.2,0.0,0,0,0,1,2,0,4,2,0,0,0,0,0,1,0,2,1,0,0,16.0,0,0,0,0,0,4,0,02/18/2023,home,16340,718,Tulane,9,True,11,4,7,win,2390680,109,2470258,2023,0.0,,,1.0
1,0.0,1.0,0.0,4,4,4,0,0,0,8,6,1,0,0,0,0,1,0,0,0,0,1,28.0,2,1,0,0,0,5,0,02/18/2023,home,16340,236,Fordham,9,True,19,5,14,win,2390733,1045,2658752,2023,0.0,,,1.0
1,1.0,2.0,0.0,2,3,3,4,4,0,13,8,2,0,0,0,0,1,0,0,0,0,0,60.0,0,2,0,1,0,1,2,02/18/2023,neutral,16340,754,Washington St.,9,True,4,17,-13,loss,2390592,111,2681741,2023,0.0,,,1.0
1,0.0,2.0,0.0,6,4,3,1,4,0,14,13,0,0,0,1,0,0,0,0,0,0,0,53.0,1,1,0,0,0,2,1,02/17/2023,away,16340,406,Mercer,9,True,8,9,-1,loss,2390467,786,2672834,2023,0.0,,,1.0
