season,season_id,school_id,division,date,game_id,field,opponent_id,opponent_name,runs_scored,runs_allowed,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,K,IBB,TB,GDP,HBP,SH,SF,DP,Picked,OPP DP,RC,PA,BA,SecA,OBP,SLG,OPS,OPS+,ISO,BAbip,XR,XRR,XRB,PSN,RS%,HR%,K%,BB%,K-BB%,BB/K
2024,16580,61,1.0,02/16/2024,5245906,home,682,Stonehill,7,1,29,7,7,0,0,1,6,1,0,9,0,0,10,1.0,1,1,0,0.0,0,1.0,5.066,39,0.241,0.448,0.436,0.379,0.815,67.0,0.0,0.214,6.55,6.594,6.748,1.0,0.375,0.026,0.0,0.231,-0.231,inf
2024,16580,61,1.0,02/17/2024,4525710,home,682,Stonehill,7,8,35,7,8,2,1,0,5,4,1,6,10,0,12,1.0,2,0,0,0.0,0,1.0,4.6325581395348845,41,0.229,0.371,0.39,0.429,0.819,78.0,0.143,0.32,8.76,8.854,9.688,0.0,0.438,0.0,0.244,0.146,0.098,0.6
2024,16580,62,1.0,02/16/2024,4525694,away,288,Houston,4,8,35,4,8,0,1,1,3,0,1,0,15,0,13,1.0,0,0,0,0.0,0,1.0,2.2285714285714286,35,0.229,0.114,0.229,0.429,0.658,60.0,0.086,0.368,7.66,7.804,8.628,0.0,0.429,0.029,0.429,0.0,0.429,0.0
2024,16580,62,1.0,02/17/2024,4526018,away,288,Houston,2,8,34,2,7,2,1,0,2,1,0,2,12,0,11,0.0,1,0,0,0.0,0,0.0,3.1978378378378376,36,0.206,0.206,0.278,0.412,0.69,60.0,0.147,0.318,7.714,7.474,7.648,0.0,0.2,0.0,0.333,0.056,0.277,0.167
2024,16580,62,1.0,02/18/2024,4526155,away,288,Houston,0,7,31,0,4,0,0,0,0,0,0,0,11,0,4,0.0,0,0,0,0.0,0,0.0,0.5161290322580645,31,0.129,0.0,0.129,0.129,0.258,-45.0,0.0,0.2,0.842,0.674,0.768,,0.0,0.0,0.355,0.0,0.355,0.0
2024,16580,67,1.0,02/16/2024,4493113,neutral,518,Ohio St.,9,2,32,8,9,1,0,3,7,3,2,10,8,0,19,0.0,0,1,1,0.0,0,1.0,8.404545454545456,44,0.281,0.656,0.432,0.719,1.151,173.0,0.031,0.273,14.176,13.456,14.972,3.0,0.312,0.068,0.182,0.227,-0.045,1.25
2024,16580,67,1.0,02/17/2024,4525967,neutral,327,Kansas St.,4,6,28,4,5,0,0,1,4,0,0,5,12,0,8,0.0,1,0,0,0.0,0,3.0,3.0929411764705885,33,0.179,0.286,0.333,0.321,0.654,38.0,0.0,0.267,4.834,4.656,4.792,0.0,0.3,0.03,0.364,0.152,0.212,0.417
2024,16580,67,1.0,02/18/2024,4526146,neutral,107,California,12,10,35,12,13,1,0,2,12,1,0,5,9,0,20,0.0,3,4,1,0.0,0,0.0,9.725,45,0.371,0.371,0.467,0.657,1.124,158.0,0.029,0.44,16.578,15.714,15.988,1.3,0.526,0.044,0.2,0.111,0.089,0.556
2024,16580,71,1.0,02/16/2024,4525489,away,419,Middle Tenn.,8,12,37,8,12,0,0,5,8,1,1,6,7,0,27,1.0,0,0,0,0.0,0,1.0,10.63906976744186,43,0.324,0.568,0.419,0.865,1.284,217.0,0.0,0.28,19.564,19.52,20.48,1.7,0.231,0.116,0.163,0.14,0.023,0.857
2024,16580,71,1.0,02/17/2024,4525725,away,419,Middle Tenn.,4,5,35,4,11,1,0,1,3,3,1,4,6,0,15,1.0,0,0,0,0.0,2,1.0,5.386666666666666,39,0.314,0.286,0.385,0.486,0.871,95.0,0.029,0.357,10.402,10.478,11.316,1.5,0.214,0.026,0.154,0.103,0.051,0.667
2024,16580,71,1.0,02/18/2024,4526047,away,419,Middle Tenn.,7,3,37,7,9,0,0,0,4,4,0,8,10,0,9,0.0,4,0,0,0.0,0,0.0,5.236734693877551,45,0.243,0.324,0.467,0.243,0.71,28.0,0.0,0.333,7.04,6.766,6.952,0.0,0.333,0.0,0.222,0.178,0.044,0.8
2024,16580,72,1.0,02/16/2024,4525540,away,772,Western Ky.,5,2,36,5,10,4,0,0,5,0,0,3,14,0,14,0.0,1,1,1,0.0,0,0.0,5.038095238095238,41,0.278,0.194,0.341,0.5,0.841,94.0,0.111,0.435,10.938,10.282,10.484,,0.357,0.0,0.341,0.073,0.268,0.214
2024,16580,72,1.0,02/18/2024,4525766,away,772,Western Ky.,0,5,22,0,2,0,0,0,0,0,1,1,9,0,2,0.0,0,0,0,0.0,0,1.0,0.19652173913043477,23,0.091,0.0,0.13,0.091,0.221,-57.0,0.0,0.154,-0.512,-0.62,0.08,,0.0,0.0,0.391,0.043,0.348,0.111
2024,16580,72,1.0,02/18/2024,4526093,away,772,Western Ky.,3,5,30,3,6,0,0,0,2,0,0,4,8,0,6,1.0,1,2,0,0.0,0,1.0,2.001081081081081,36,0.2,0.133,0.306,0.2,0.506,-3.0,0.0,0.273,2.866,2.958,3.076,,0.273,0.0,0.222,0.111,0.111,0.5
2024,16580,77,1.0,02/16/2024,4525575,neutral,657,Southern California,8,1,39,8,12,0,0,2,7,0,0,5,15,0,18,1.0,1,0,0,0.0,0,1.0,7.389333333333333,44,0.308,0.282,0.409,0.513,0.922,106.0,0.0,0.455,12.42,12.504,12.748,0.0,0.375,0.045,0.341,0.114,0.227,0.333
2024,16580,77,1.0,02/17/2024,4493114,neutral,518,Ohio St.,2,7,33,2,6,1,0,1,2,0,1,0,10,0,10,0.0,0,0,0,0.0,0,0.0,1.5151515151515151,33,0.182,0.091,0.182,0.364,0.546,34.0,0.03,0.227,5.73,5.494,6.288,0.0,0.2,0.03,0.303,0.0,0.303,0.0
2024,16580,77,1.0,02/19/2024,4526283,neutral,1104,Grand Canyon,2,6,30,2,5,0,1,0,2,0,0,1,10,0,7,0.0,1,1,1,0.0,0,0.0,1.5788235294117647,33,0.167,0.1,0.212,0.267,0.479,7.0,0.1,0.238,4.34,3.73,3.86,,0.286,0.0,0.303,0.03,0.273,0.1
2024,16580,81,1.0,02/16/2024,4525461,away,128,UCF,11,12,41,11,15,3,1,2,11,3,1,1,13,0,26,0.0,0,0,0,0.0,0,0.0,9.415714285714287,42,0.366,0.341,0.381,0.78,1.161,186.0,0.146,0.5,20.196,19.832,20.784,2.4,0.643,0.048,0.31,0.024,0.286,0.077
2024,16580,83,1.0,02/17/2024,4525714,away,2915,Wofford,9,17,41,8,14,3,0,1,9,0,0,6,9,1,20,0.0,0,0,0,0.0,0,0.0,9.063829787234043,47,0.341,0.293,0.426,0.585,1.011,131.0,0.073,0.419,15.488,14.554,14.808,0.0,0.368,0.021,0.191,0.128,0.063,0.667
2024,16580,83,1.0,02/17/2024,4525847,neutral,711,Towson,3,14,35,2,8,2,0,0,3,0,0,6,8,0,10,1.0,1,0,0,0.0,0,1.0,3.9400000000000004,41,0.229,0.229,0.366,0.343,0.709,48.0,0.057,0.296,6.316,6.424,6.588,,0.133,0.0,0.195,0.146,0.049,0.75
