season,season_id,school_id,division,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,K,IBB,TB,GDP,HBP,SH,SF,DP,Picked,OPP DP,RC,PA,BA,SecA,OBP,SLG,OPS,OPS+,ISO,BAbip,XR,XRR,XRB,PSN,RS%,HR%,K%,BB%,K-BB%,BB/K
2022,15860,104,1.0,2088,2006,427,570,117,22,77,397,88,28,281,491,10,962,23.0,87,19,24,0.0,10,32.0,387.22551923872567,2330,0.284,0.365,0.403,0.587,0.99,122.0,0.091,0.337,740.402,715.322,746.604,82.1,0.407,0.033,0.211,0.121,0.09,0.572
2022,15860,107,1.0,1904,1981,397,570,120,13,75,362,39,16,257,451,11,941,11.0,41,13,28,0.0,7,30.0,368.18018103448276,2279,0.288,0.329,0.381,0.58,0.961,118.0,0.08,0.334,711.402,680.602,703.484,51.3,0.406,0.033,0.198,0.113,0.085,0.57
2022,15860,108,1.0,1148,1397,169,336,64,7,17,144,17,12,147,433,4,465,21.0,35,2,13,0.0,3,28.0,155.5755583437892,1559,0.241,0.201,0.332,0.396,0.728,56.0,0.061,0.332,315.586,306.082,320.884,17.0,0.303,0.011,0.278,0.094,0.184,0.339
2022,15860,109,1.0,1568,1723,300,446,83,17,32,272,45,17,217,410,17,659,22.0,94,44,21,0.0,5,28.0,251.5974845164364,2005,0.259,0.266,0.378,0.459,0.837,81.0,0.078,0.318,498.41,472.524,493.488,37.4,0.37,0.016,0.204,0.108,0.096,0.529
2022,15860,110,1.0,1984,2222,409,619,125,12,47,380,74,13,318,550,10,909,37.0,106,30,33,0.0,10,43.0,372.68171280915465,2603,0.279,0.301,0.401,0.492,0.893,93.0,0.072,0.345,690.87,666.676,688.352,57.5,0.363,0.018,0.211,0.122,0.089,0.578
2022,15860,111,1.0,1664,1697,187,385,76,9,8,175,33,19,154,432,4,503,26.0,61,16,12,0.0,7,37.0,159.61031958762885,1879,0.227,0.169,0.319,0.351,0.67,41.0,0.061,0.297,336.004,325.504,345.928,12.9,0.302,0.004,0.23,0.082,0.148,0.356
2022,15860,112,1.0,2128,1920,327,514,106,18,54,303,33,20,253,510,6,818,34.0,73,19,20,0.0,4,42.0,310.013409190372,2212,0.268,0.297,0.38,0.519,0.899,99.0,0.083,0.334,600.78,585.582,610.104,41.0,0.347,0.024,0.231,0.114,0.117,0.496
2022,15860,115,1.0,2220,2084,523,624,130,17,118,473,132,34,289,479,10,1142,25.0,121,26,27,0.0,9,36.0,477.0106792304672,2426,0.299,0.434,0.426,0.675,1.101,151.0,0.087,0.334,907.948,879.79,917.1,124.6,0.442,0.049,0.197,0.119,0.078,0.603
2022,15860,116,1.0,1620,1893,380,556,85,18,51,349,69,11,254,472,4,830,27.0,81,10,21,0.0,10,33.0,345.9279238601151,2178,0.294,0.31,0.409,0.52,0.929,102.0,0.073,0.363,626.434,609.864,628.688,58.6,0.392,0.023,0.217,0.117,0.1,0.538
2022,15860,127,1.0,1316,1652,341,483,91,7,44,307,29,9,240,319,5,720,20.0,39,15,17,0.0,1,26.0,295.471543555782,1924,0.292,0.301,0.396,0.522,0.918,102.0,0.068,0.336,532.738,515.908,531.596,35.0,0.414,0.023,0.166,0.125,0.041,0.752
2022,15860,128,1.0,1980,1956,404,568,97,16,73,364,103,23,242,510,7,916,27.0,76,32,23,0.0,10,37.0,357.86050665521685,2253,0.29,0.343,0.393,0.563,0.956,114.0,0.074,0.355,698.99,678.116,705.532,85.4,0.407,0.032,0.226,0.107,0.119,0.475
2022,15860,129,1.0,1891,1762,386,499,106,12,40,364,75,14,291,441,8,749,21.0,74,34,27,0.0,7,32.0,318.9851462522852,2114,0.283,0.342,0.409,0.515,0.924,101.0,0.081,0.351,575.842,552.736,572.452,52.2,0.42,0.019,0.209,0.138,0.071,0.66
2022,15860,140,1.0,1430,1301,274,356,76,12,67,243,62,24,174,400,2,657,18.0,21,15,17,0.0,5,23.0,235.60438481675394,1507,0.274,0.394,0.366,0.624,0.99,129.0,0.086,0.34,488.84,476.29,500.32,64.4,0.428,0.044,0.265,0.115,0.15,0.435
2022,15860,141,1.0,1995,1796,332,464,92,9,31,284,54,17,237,393,10,667,15.0,48,46,18,0.0,11,26.0,246.88385081585082,2097,0.258,0.266,0.357,0.445,0.802,74.0,0.066,0.312,485.446,461.934,482.628,39.4,0.419,0.015,0.187,0.113,0.074,0.603
2022,15860,147,1.0,1798,1552,335,426,77,4,85,326,21,5,242,453,9,766,29.0,45,8,17,0.0,2,32.0,305.3734120171674,1819,0.274,0.385,0.392,0.601,0.993,125.0,0.057,0.331,569.146,554.462,568.024,33.7,0.398,0.047,0.249,0.133,0.116,0.534
2022,15860,149,1.0,1829,1346,317,390,84,5,64,291,36,22,227,320,8,676,22.0,59,34,25,0.0,6,33.0,279.69388527498523,1632,0.29,0.392,0.414,0.616,1.03,132.0,0.074,0.33,520.77,501.142,524.484,46.1,0.413,0.039,0.196,0.139,0.057,0.709
2022,15860,158,1.0,1650,1762,402,530,117,16,64,359,73,19,219,404,4,871,19.0,52,8,30,0.0,7,25.0,346.49839690970543,2019,0.301,0.348,0.397,0.606,1.003,127.0,0.094,0.352,671.558,648.954,672.808,68.2,0.459,0.032,0.2,0.108,0.092,0.542
