App,GS,IP,CG,H,R,ER,BB,SO,SHO,BF,P-OAB,2B-A,3B-A,Bk,HR-A,WP,HB,IBB,Inh Run,Inh Run Score,SHA,SFA,pitches,GO,FO,W,L,SV,OrdAppeared,KL,date,field,season_id,opponent_id,opponent_name,innings_played,extras,runs_scored,runs_allowed,run_difference,result,game_id,school_id,stats_player_seq,season,score,pickoffs,Pitches
0,0.0,0.1,0.0,1,0,0,0,0,0,2,2,0,0,0,0,0,0,0,1,0,0,0,6.0,1,0,0,0,0,3,0,04/01/2017,away,12560,202,Eastern Ky.,9,True,3,11,-8,loss,215481,695,1868917,2017,,,
0,0.0,1.0,0.0,1,0,0,1,1,0,5,4,0,1,0,0,0,0,0,0,0,0,0,18.0,0,2,0,0,0,4,0,04/15/2017,away,12560,810,Wright St.,9,True,5,12,-7,loss,219813,695,1868917,2017,,,
0,0.0,1.0,0.0,3,1,1,0,0,0,6,6,1,0,0,0,0,0,0,0,0,0,0,19.0,1,2,0,0,0,2,0,04/26/2017,home,12560,6,Alabama A&M,9,True,12,2,10,win,222923,695,1868917,2017,,,
0,0.0,1.0,0.0,5,5,3,0,1,0,10,9,2,0,1,1,0,1,0,1,1,0,0,34.0,0,2,0,0,0,2,0,04/28/2017,home,12560,43,Austin Peay,9,True,4,19,-15,loss,223085,695,1868917,2017,,,
0,0.0,0.2,0.0,0,0,0,0,1,0,2,2,0,0,0,0,0,0,0,3,0,0,0,8.0,0,1,0,0,0,5,1,05/19/2017,away,12560,454,Murray St.,9,True,4,14,-10,loss,226925,695,1868917,2017,,,
0,0.0,1.2,0.0,2,2,0,0,3,0,8,6,0,0,0,0,2,0,0,2,2,0,2,36.0,0,2,0,0,0,3,1,02/25/2017,away,12560,370,LMU (CA),9,True,5,18,-13,loss,207256,754,1756204,2017,,,
0,0.0,0.2,0.0,0,0,0,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,8.0,0,1,0,0,0,3,0,03/11/2017,home,12560,30024,Utah Valley,9,True,10,0,10,win,210801,754,1756204,2017,,,
0,0.0,0.1,0.0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,15.0,0,1,1,0,0,3,0,03/12/2017,home,12560,30024,Utah Valley,9,True,9,3,6,win,210934,754,1756204,2017,,,
0,0.0,1.1,0.0,1,1,1,2,1,0,8,5,0,0,0,1,0,1,0,1,1,0,0,34.0,1,2,0,0,0,2,1,03/17/2017,away,12560,657,Southern California,9,True,3,12,-9,loss,211738,754,1756204,2017,,,
0,0.0,0.1,0.0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,5.0,0,0,0,0,0,3,0,03/26/2017,home,12560,101,CSUN,9,True,1,3,-2,loss,214472,754,1756204,2017,,,
